ID,English_Term,Telugu_Term_Raw,Telugu_Term_Clean,English_Definition,Telugu_Definition_Raw,Telugu_Definition_Clean
1,Access Control,యాక్సెస్ నియంత్రణ,యాక్సెస్ నియంత్రణ,"The process of granting or denying access to information, systems, services, or resources.","సమాచారాన్ని, వ్యవస్థలను, సేవలను లేదా వనరులను అందించడం లేదా నిరాకరించడం.","సమాచారాన్ని, వ్యవస్థలను, సేవలను లేదా వనరులను అందించడం లేదా నిరాకరించడం."
2,Authentication,ధృవీకరణ,ధృవీకరణ,"The process of verifying the identity of a user, process, or device before allowing access.","యాక్సెస్‌ను అనుమతించుటకు ముందుగా వినియోగదారి, ప్రక్రియ, లేదా పరికరము గుర్తించుటను నిర్ధారణచేస్తుంది.","యాక్సెస్‌ను అనుమతించుటకు ముందుగా వినియోగదారి, ప్రక్రియ, లేదా పరికరము గుర్తించుటను నిర్ధారణచేస్తుంది."
3,Authorization,(z) ధృవీకరణ,ధృవీకరణ,The process of determining whether an authenticated user or system is allowed to access a resource.,ధృవీకరించిన వినియోగదారి లేదా వ్యవస్థ వాడుకలో ఉన్నారా అని నిర్ధారించుటకు అనుమతినిస్తుంది.,ధృవీకరించిన వినియోగదారి లేదా వ్యవస్థ వాడుకలో ఉన్నారా అని నిర్ధారించుటకు అనుమతినిస్తుంది.
4,Availability,ఎనలాగ్యులేషన్,ఎనలాగ్యులేషన్,"The condition in which authorized users can access data, information, and systems when needed.","అధికారంలో ఉన్న వినియోగదారులకు అవసరమైనప్పుడు సమాచారాన్ని, సమాచారం, వ్యవస్థలను సంప్రదించే పరిస్థితి ఉంటుంది.","అధికారంలో ఉన్న వినియోగదారులకు అవసరమైనప్పుడు సమాచారాన్ని, సమాచారం, వ్యవస్థలను సంప్రదించే పరిస్థితి ఉంటుంది."
5,Confidentiality,ఎన్‌క్లోబిలిటి,ఎన్‌క్లోబిలిటి,The property of keeping information from being disclosed to unauthorized people or systems.,సమాచారాన్ని వెల్లడి చేయని ప్రజలకు లేదా వ్యవస్థలకు రహస్యంగా ఉంచడం ద్వారా ఆస్వాదితాన్ని కాపాడుకోవడమనే లక్షణం.,సమాచారాన్ని వెల్లడి చేయని ప్రజలకు లేదా వ్యవస్థలకు రహస్యంగా ఉంచడం ద్వారా ఆస్వాదితాన్ని కాపాడుకోవడమనే లక్షణం.
6,Integrity,యథార్ధత,యథార్ధత,The property that ensures data has not been altered in an unauthorized manner.,దత్తాంశాన్ని నిశ్చయపరిచే ఆస్తులు నిర్దుష్టంగా మార్చబడలేదు.,దత్తాంశాన్ని నిశ్చయపరిచే ఆస్తులు నిర్దుష్టంగా మార్చబడలేదు.
7,Non-repudiation,రిప్రెషన్ కాని,రిప్రెషన్ కాని,The ability to provide evidence that prevents a party from denying a valid action or transaction.,"ఉదాహరణకు, ఒక పార్టీ సరైన చర్యను లేదా ఒప్పందాన్ని నిరాకరించకుండా అడ్డుకునే రుజువులను ఇవ్వగల సామర్థ్యం.","ఉదాహరణకు, ఒక పార్టీ సరైన చర్యను లేదా ఒప్పందాన్ని నిరాకరించకుండా అడ్డుకునే రుజువులను ఇవ్వగల సామర్థ్యం."
8,Cybersecurity,సైప్రస్ సామర్ధ్యం,సైప్రస్ సామర్ధ్యం,"The protection of electronic information, communication systems, and the information they contain from damage or unauthorized use.","ఎలక్ట్రానిక్‌ సమాచారం, సంభాషణా వ్యవస్థల, వాటిలోని సమాచారం వల్ల నష్టం లేదా నిరపాయకరమైన ఉపయోగం నుండి కాపాడబడుతుంది.","ఎలక్ట్రానిక్‌ సమాచారం, సంభాషణా వ్యవస్థల, వాటిలోని సమాచారం వల్ల నష్టం లేదా నిరపాయకరమైన ఉపయోగం నుండి కాపాడబడుతుంది."
9,Cyber Attack,సైప్రస్‌ దాడి,సైప్రస్‌ దాడి,"An attempt to damage, disrupt, access, or compromise a computer system, network, or data.","కంప్యూటర్‌ను, నెట్‌వర్క్‌ని, డాటాను నాశనం చేయడానికి, అంతరాయం చేయడానికి లేదా రాజీ పడుకోవడానికి ప్రయత్నించడం.","కంప్యూటర్‌ను, నెట్‌వర్క్‌ని, డాటాను నాశనం చేయడానికి, అంతరాయం చేయడానికి లేదా రాజీ పడుకోవడానికి ప్రయత్నించడం."
10,Data Breach,దత్తాంశం బ్రాకెక్Name,దత్తాంశం బ్రాకెక్,"An incident in which sensitive, protected, or confidential information is accessed, copied, disclosed, or stolen without authorization.","అలాంటి సమాచారం అందుబాటులో ఉంటే, దాపరికంలేకుండా దొంగతనం చేసినట్లే అవుతుంది.","అలాంటి సమాచారం అందుబాటులో ఉంటే, దాపరికంలేకుండా దొంగతనం చేసినట్లే అవుతుంది."
11,Encryption,ఎన్‌కోడింగ్,ఎన్‌కోడింగ్,The transformation of plaintext into ciphertext so that the original information is protected from unauthorized access.,క్యాప్‌ రికార్డింగుల ద్వారా ఆ మూల సమాచారం నియంత్రితంగా కాపాడబడుతుంది.,క్యాప్‌ రికార్డింగుల ద్వారా ఆ మూల సమాచారం నియంత్రితంగా కాపాడబడుతుంది.
12,Decryption,ఎన్‌కోడింగ్ (scription),ఎన్‌కోడింగ్,The process of converting encrypted ciphertext back into its original readable form.,ఎన్‌క్లోజ్డు వచనమును దాని ప్రాధమిక చదువుట ఫార్మేట్‌గా మార్చుట యొక్క ప్రక్రియ.,ఎన్‌క్లోజ్డు వచనమును దాని ప్రాధమిక చదువుట ఫార్మేట్‌గా మార్చుట యొక్క ప్రక్రియ.
13,Cryptography,ఆర్పిటోగ్రేమ్Name,ఆర్పిటోగ్రేమ్,The study and application of techniques for protecting information through mathematical methods.,"గణిత శాస్త్ర పద్ధతుల ద్వారా సమాచారాన్ని కాపాడే పద్ధతులను అధ్యయనం చేయడం, వాటి అన్వయింపు.","గణిత శాస్త్ర పద్ధతుల ద్వారా సమాచారాన్ని కాపాడే పద్ధతులను అధ్యయనం చేయడం, వాటి అన్వయింపు."
14,Cryptographic Key,ముద్రణా కళాఖండం కీ,ముద్రణా కళాఖండం కీ,"A value used by a cryptographic algorithm to encrypt, decrypt, or otherwise protect information.","ఎన్క్రిప్షన్, డీకోడ్ లేదా ఇతర విధాలుగా సమాచారాన్ని కాపాడుటకు వుపయోగించబడే విలువ","ఎన్క్రిప్షన్, డీకోడ్ లేదా ఇతర విధాలుగా సమాచారాన్ని కాపాడుటకు వుపయోగించబడే విలువ"
15,Digital Signature,డిజిటల్ సంతకంName,డిజిటల్ సంతకం,A cryptographic mechanism used to verify the authenticity and integrity of a digital message or document.,"డిజిటల్‌ సందేశం లేదా పత్రం యొక్క వాస్తవాన్ని, యథార్థతను పరీక్షించడానికి అప్రమత్తతతో కూడిన గణిత శాస్త్ర వ్యవస్థ ఉపయోగించబడింది.","డిజిటల్‌ సందేశం లేదా పత్రం యొక్క వాస్తవాన్ని, యథార్థతను పరీక్షించడానికి అప్రమత్తతతో కూడిన గణిత శాస్త్ర వ్యవస్థ ఉపయోగించబడింది."
